image,ground_truth,prediction,CER_formula,CER_score
test001_1.jpg,B9140BCD,B1991401140,CER = (4 + 0 + 2) / 8,0.75
test001_2.jpg,B2407UZO,UZO,CER = (0 + 5 + 0) / 8,0.625
test001_3.jpg,B2842PKM,B20342,CER = (2 + 3 + 0) / 8,0.625
test002_1.jpg,BG1352AE,AHAE,CER = (6 + 0 + 0) / 8,0.75
test003_1.jpg,B2634UZF,B2634UF,CER = (0 + 1 + 0) / 8,0.125
test003_2.jpg,B1995JVK,JKL125,CER = (5 + 3 + 0) / 8,1
test004_1.jpg,B9062VEH,813002659,CER = (8 + 6 + 0) / 8,1.75
test005_1.jpg,DD8798KM,DD1798,CER = (1 + 2 + 0) / 8,0.375
test006_1.jpg,T1329KC,17329KC,CER = (0 + 1 + 1) / 7,0.286
test007_1.jpg,AD8865EE,AD8863,CER = (3 + 0 + 0) / 8,0.375
test008_1.jpg,DK1157AAB,DKL11157,CER = (0 + 3 + 2) / 9,0.556
test008_2.jpg,AA1997FE,A199199,CER = (3 + 1 + 0) / 8,0.5
test009_1.jpg,H8518NA,H86516,CER = (3 + 0 + 1) / 7,0.571
test009_2.jpg,K1649GB,KL1049,CER = (1 + 2 + 1) / 7,0.571
test010_1.jpg,B9416PCN,B9601017,CER = (6 + 0 + 0) / 8,0.75
test010_2.jpg,H1147UY,HY127VY,CER = (3 + 0 + 1) / 7,0.571
test011_1.jpg,H1691IL,H169IL,CER = (0 + 1 + 0) / 7,0.143
test011_2.jpg,B9374RI,B931RI,CER = (2 + 0 + 0) / 7,0.286
test011_3.jpg,D1204AIG,D1204AIA,CER = (1 + 0 + 0) / 8,0.125
test012_1.jpg,E1887BA,E1897BA,CER = (1 + 0 + 0) / 7,0.143
test013_1.jpg,B1439UZP,UZP1436,CER = (7 + 0 + 0) / 8,0.875
test013_2.jpg,B1128WOS,B11123,CER = (4 + 0 + 1) / 8,0.625
test014_1.jpg,B1388DFX,DXF,CER = (0 + 6 + 1) / 8,0.875
test015_1.jpg,AD1798BT,AD1798,CER = (0 + 2 + 0) / 8,0.25
test016_1.jpg,E1517DQ,1517,CER = (0 + 3 + 0) / 7,0.429
test017_1.jpg,AD8982FS,AD80982,CER = (0 + 2 + 1) / 8,0.375
test018_1.jpg,L7603UA,7600312AJ,CER = (2 + 1 + 2) / 7,0.714
test019_1.jpg,AD7HS,AD72HS,CER = (0 + 0 + 1) / 5,0.2
test019_2.jpg,B1959WYK,WYK1965,CER = (0 + 5 + 4) / 8,1.125
test020_1.jpg,AG8634EK,AJG8602,CER = (4 + 0 + 1) / 8,0.625
test020_2.jpg,AD1329PY,1328,CER = (3 + 2 + 0) / 8,0.625
test021_1.jpg,BA1709DW,DW1709,CER = (2 + 2 + 0) / 8,0.5
test021_2.jpg,W1236VZ,VZ,CER = (0 + 5 + 0) / 7,0.714
test022_1.jpg,W1825OZ,W18256,CER = (2 + 0 + 0) / 7,0.286
test022_2.jpg,L1202UE,L12072,CER = (0 + 2 + 1) / 7,0.429
test022_3.jpg,L3823IB,L1382,CER = (0 + 3 + 1) / 7,0.571
test023_1.jpg,B1730JLO,17304JL,CER = (0 + 2 + 1) / 8,0.375
test024_1.jpg,B2964TRU,B2967,CER = (4 + 0 + 0) / 8,0.5
test025_1.jpg,S5585LP,560796LPP,CER = (5 + 1 + 1) / 7,1
test025_2.jpg,L2858RR,L283059,CER = (3 + 0 + 2) / 7,0.714
test025_3.jpg,W1185ZO,ZO20,CER = (0 + 5 + 2) / 7,1
test025_4.jpg,9840VU,9840001VU,CER = (0 + 0 + 3) / 6,0.5
test026_1.jpg,N9652DF,9652DE,CER = (1 + 1 + 0) / 7,0.286
test026_2.jpg,L3836ZX,383656,CER = (2 + 1 + 0) / 7,0.429
test027_1.jpg,N1905IG,N19605,CER = (0 + 2 + 1) / 7,0.429
test027_2.jpg,B1109CLR,B1101,CER = (4 + 0 + 0) / 8,0.5
test027_3.jpg,L1840AA,L1840,CER = (0 + 2 + 0) / 7,0.286
test028_1.jpg,L1438EO,1438,CER = (0 + 3 + 0) / 7,0.429
